id,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,hotel_continent,hotel_country,hotel_market
98854,4/8/2015 14:44,2,3,66,314,53314,1382.5367,328999,0,0,9,5/7/2015,5/8/2015,4,0,1,12439,5,4,8,126
98855,4/10/2015 22:06,2,3,66,314,44951,,328999,0,0,9,5/7/2015,5/8/2015,4,0,1,8791,1,4,8,110
98856,4/14/2015 8:17,13,1,46,172,3641,,329012,0,0,9,4/27/2015,4/30/2015,1,0,1,11496,3,6,144,1323
98857,6/17/2015 14:56,13,1,46,172,3641,,329012,0,0,10,7/4/2015,7/5/2015,2,0,1,28605,6,6,144,1345
98858,9/22/2015 14:02,13,1,46,172,3641,,329012,0,0,10,9/28/2015,9/29/2015,1,0,1,21595,6,6,144,1013
98859,8/20/2015 17:01,37,1,69,837,19020,,329013,0,1,2,9/14/2015,9/16/2015,2,0,1,8213,1,6,68,275
98860,3/12/2015 15:35,11,3,205,411,50761,8496.2221,329016,0,0,4,3/19/2015,3/21/2015,2,0,1,8819,1,3,168,1242
98861,9/5/2015 8:16,2,3,66,363,49679,,329017,0,0,10,9/6/2015,9/7/2015,1,0,1,28512,6,2,50,1457
98862,2/17/2015 15:23,2,3,66,322,47357,4924.7277,329022,0,1,9,5/24/2015,5/30/2015,2,2,2,11643,1,6,77,222
98863,10/27/2015 21:00,2,3,119,0,27731,,329037,0,0,1,12/19/2015,12/22/2015,2,0,1,41976,1,3,106,780
98864,12/8/2015 7:47,2,3,119,0,27731,,329037,0,0,10,12/14/2015,12/18/2015,1,0,1,12916,5,6,107,36
98865,2/19/2015 8:54,2,3,66,174,24103,1326.6055,329042,0,0,2,8/22/2015,8/24/2015,2,0,1,27279,1,2,50,736
98866,3/5/2015 16:43,2,3,66,314,36507,791.8427,329043,0,0,0,3/12/2015,3/15/2015,2,0,1,8268,1,2,50,682
98867,7/16/2015 12:00,2,3,66,174,30055,232.036,329048,0,0,2,7/19/2015,7/20/2015,4,1,1,12175,6,2,50,366
98868,9/28/2015 18:43,2,3,66,174,38375,2438.6727,329048,0,0,10,12/21/2015,12/22/2015,2,1,1,28510,6,2,50,1457
98869,9/13/2015 7:12,24,2,3,51,39770,,329051,0,0,0,9/16/2015,9/17/2015,1,0,1,20479,6,3,182,46
98870,4/7/2015 21:19,37,1,69,727,20063,,329052,1,0,9,4/7/2015,4/8/2015,2,0,1,15590,6,6,70,1925
98871,7/7/2015 13:01,51,4,77,977,42962,57.2243,329052,0,0,10,7/11/2015,7/12/2015,3,0,1,8257,1,0,63,1108
98872,4/10/2015 14:31,11,3,205,385,45361,,329053,0,0,9,6/23/2015,6/24/2015,2,2,1,22395,6,4,146,1547
98873,8/30/2015 9:15,2,3,66,311,38374,189.6749,329063,0,0,10,9/4/2015,9/7/2015,2,1,1,14846,1,2,50,674
98874,10/2/2015 11:00,37,1,69,1008,13500,,329076,0,1,0,4/14/2016,4/18/2016,5,0,3,8739,1,6,144,4
98875,12/9/2015 17:43,2,3,66,348,35934,,329086,0,0,10,3/5/2016,3/10/2016,1,0,1,11854,1,2,50,700
98876,1/28/2015 16:17,2,3,66,462,8833,2188.612,329093,1,0,0,1/28/2015,1/29/2015,1,0,1,14803,1,2,50,558
98877,1/29/2015 15:41,2,3,66,462,8833,2224.8645,329093,1,0,9,1/29/2015,1/30/2015,1,0,1,14840,1,2,50,1629
98878,4/20/2015 17:24,2,3,66,220,11913,194.0105,329093,0,0,0,4/21/2015,4/22/2015,1,0,1,19535,1,2,50,593
98879,5/14/2015 4:51,2,3,66,220,11913,136.6148,329093,1,0,0,5/14/2015,5/15/2015,1,0,1,15093,1,2,50,679
98880,3/30/2015 11:44,2,3,66,174,11491,0.496,329097,0,0,1,4/12/2015,4/14/2015,1,0,1,24652,6,2,50,358
98881,5/13/2015 7:10,2,3,66,321,42936,,329105,0,0,10,6/12/2015,6/13/2015,2,4,1,27279,1,2,50,736
98882,11/23/2015 11:44,37,1,87,59,5152,,329135,0,0,2,12/29/2015,1/2/2016,3,0,1,8806,1,6,105,22
98883,1/29/2015 14:30,2,3,66,220,2086,1162.44,329138,0,0,9,2/3/2015,2/5/2015,2,0,1,44220,8,4,13,1531
